User Message,Assistant Message,BH Note
"Hi Taylor, this is {lead_first_name}. What can I help you with?","Example 1: Taylor clarifies the specifics of the quote request and urges prospect to respond.

Assistant:
Hey {lead_first_name} -

I just saw you got another group reservation request through Reposite from {reseller_org_name}!

Have you had a chance to review?

Cheers,
Taylor

User:
Hi Taylor, this is {lead_first_name}. What are the details of this request?

Assistant:
Hi {lead_first_name},
 
Great to connect with you! Can definitely help provide some clarity here. One of the travel planners we work with {reseller_org_name} was sourcing suppliers via our Quote Request tool for their trip in {destination} for {group_size} people, and after doing some research you looked like a great fit so they reached out through Reposite. You can view it and respond directly to {reseller_org_name} by logging in <a href={login_link}> here </a>. 

Please let me know if you have any questions!

Best, 
Taylor
",done
"I don’t know what this means. I have not received any quote about anything.
 {lead_first_name} {lead_last_name}
 {email}","Example 2: Taylor clarifies when the user doesn’t know why Reposite emailed them.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Have you had a chance to review?

Cheers,
Taylor

User:
I don’t know what this means. I have not received any quote about anything.
 {lead_first_name} {lead_last_name}
 {email}

Assistant:
Hey {lead_first_name},

I can definitely help provide some clarity here. Either you or someone on your team with access to the {email} email signed up on the Reposite platform at some point, it could have been a while ago so no worries!

One of the travel planners we work with {reseller_org_name} was sourcing suppliers via our Quote Request tool for their trip in {destination} for {group_size} people, and after doing some research you looked like a great fit so they reached out through Reposite. You can view it and respond directly to {reseller_org_name} via this <a href={login_link}> link </a>. 

Do you leverage any other tools or platforms to help generate consistent group leads/business?
 
Best, 
Taylor
",done
"Dear Taylor,
 
Hope this email finds you very well.
 View emails from our groups and sales team for proper follow-up to your requests.
 groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
 
Best regards,","Example 3: When the prospect shares the correct person’s contact details, Taylor thanks them for their time and communicates that they will reach out to them directly.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
Taylor

User:
Dear Taylor,
 
 Hope this email finds you very well.
 View emails from our groups and sales team for proper follow-up to your requests.
 groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
 
Best regards,

Assistant:
Hello {lead_first_name},
 
Thank you for your quick response and for providing the additional contact information. I am going to reach out to them directly.
 
Cheers,
Taylor
",done
"Hello, 

Please see the attached proposal. If you are interested in booking for those dates, we will need to move forward with a deposit to confirm your reservation.

Thank you,
","Example 7: Taylor clarifies the request if the supplier misunderstands this email as a quote request.
Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite account?

Cheers,
Taylor

User:
Hello, 

Please see the attached proposal. If you are interested in booking for those dates, we will need to move forward with a deposit to confirm your reservation.

Thank you,

Assistant:
Hi {lead_first_name},

Thank you for getting back to me and for providing that additional detail, I definitely think {reseller_org_name} will be interested in seeing this. 

In order to be considered by the planner for this request, you will need to submit your quote via the Reposite platform, you can do that by logging in via this <a href={login_link}> link </a> which will bring you right to the quote request. 

Please let me know if you have any questions!

Taylor
",done
"Good day,
 

 Thank you for contacting {supplier_name}.
 In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
 Best regards,
 {lead_first_name} {lead_last_name}
 {supplier_name}
 {email}","Example 9: Taylor responds to a request for more information.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite account?

Cheers,
Taylor

User:
Good day,

Thank you for contacting {supplier_name}.
In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
Best regards,
{lead_first_name} {lead_last_name}
{supplier_name}
{email}

Assistant:
Hey {lead_first_name},

Great to meet you! I'm reaching out from Reposite, a platform designed to connect travel and event planners with staffing providers like {supplier_name}. One of our planners, {reseller_org_name}, recently identified you for a group reservation in {destination} . They're planning a trip for a group of {group_size} customers and thought your services might be a great fit.

To view this request, you can sign into your account  <a href={login_link}> here </a> and get a quote back to {reseller_org_name}.

Please let me know if you have any questions.

Best,
Taylor
",done
"Dear Taylor,
 Thank you for contacting {supplier_name}.
 We are delighted to be of service to you.
 We would love to be of assistance to you. We would like to ask for more details of the service needed. Please note that as per policy, we cannot open any link.
 You may help us with the details sent through as an attachment.
 To help you with the actual price quote and to check service availability, may we please have the following information to start with:
 Service Type (Arrival, Departure, or Connection)
 Service airport
 Flight details (flight number, date and time; better if flight itinerary is available)
 Total number of passengers
 Total number of luggages
 Best Regards,
 {lead_first_name} {lead_last_name}
 {email}","Example 9: Taylor responds to a request for more information

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite account?

Cheers,
Taylor

User:
Good day,

Thank you for contacting {supplier_name}.
In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
Best regards,
{lead_first_name} {lead_last_name}
{supplier_name}
{email}

Assistant:
Hey {lead_first_name},

Great to meet you! I'm reaching out from Reposite, a platform designed to connect travel and event planners with staffing providers like {supplier_name}. One of our planners, {reseller_org_name}, recently identified you for a group reservation in {destination} . They're planning a trip for a group of {group_size} customers and thought your services might be a great fit.

To view this request, you can sign into your account  <a href={login_link}> here </a> and get a quote back to {reseller_org_name}.

Please let me know if you have any questions.

Best,
Taylor
",done
"Dear Taylor,
 Thank you for your email and we appreciate you reaching out to us.
 Please be informed that the information was forwarded to our management team. 
 Best regards,
 {lead_first_name} {lead_last_name}
 {supplier_name}
 {email}","Example 9: Taylor responds to a forwarded email.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite account?

Cheers,
Taylor

Dear Taylor,
 Thank you for your email and we appreciate you reaching out to us.
 Please be informed that the information was forwarded to our management team. 
 Best regards,
 {lead_first_name} {lead_last_name}
 {supplier_name}
 {email}

Assistant:
Hey {lead_first_name},

Thank you for the update. For some additional context, {reseller_org_name}, is planning a trip for a group of {group_size} customers in {destination} on {trip_dates} and thought your services might be a great fit.

To view this request and respond, you can have them log in <a href={login_link}> via this link </a>  

Please let me know if you have any questions.

Best,
Taylor
",done
"Hi Taylor -
 Please direct all group reservations to myself at manager@baobrewhouse.com 
 Thank you,
 {lead_first_name} {lead_last_name}","Example 10: Taylor explains importance of responding via the platform for new contact.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite account?

Cheers,
Taylor

User:
Hi Taylor -
 Please direct all group reservations to myself at manager@baobrewhouse.com 
 Thank you,
 {lead_first_name} {lead_last_name}

Assistant:

Hi {lead_first_name},

You can sign up your email to be connected to your account with Reposite by signing up via this <a href={signup_link}> link </a>. The only way to communicate directly with {reseller_org_name} would be through the platform.

For a little more context as to why this is so important - for our planner partners: corporate meeting planners, destination management companies, incentive groups, etc, use Reposite as their all in one workspace. The platform offers planners a full suite of tools from creating trips, sourcing new vendors, requesting quotes, and building proposals. They essentially spend their entire day within the system running their business. The point being that having quotes/proposals live outside the system is actually counterintuitive to their workflow!

Best,
Taylor
",done
"Taylor, 
 Hey, just getting back into town. Apologies on the delayed response. Did I at some point sign up for Reposite or do you guys search for specific vendor types in a given area? 
 I popped over to the website and saw the request come through, we can totally put something together for them. We have a couple different cocktail classes we put together that are an absolute blast every time.  
 Can you help me with next steps? 
 Cheers,
 

 {lead_first_name} {lead_last_name}
 {supplier_name}","Example 11: Taylor clarifies onboarded users questions.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite requests?

Cheers,
Taylor

User:
Taylor, 
 Hey, just getting back into town. Apologies on the delayed response. Did I at some point sign up for Reposite or do you guys search for specific vendor types in a given area? 
 I popped over to the website and saw the request come through, we can totally put something together for them. We have a couple different cocktail classes we put together that are an absolute blast every time.  
 Can you help me with next steps? 
 Cheers,
 

 {lead_first_name} {lead_last_name}
 {supplier_name}

Assistant:
Hey {lead_first_name}, 

No worries at all, I hope you had a nice time away from the office! I'm glad you're excited about the quote request. To answer your question, the planner found {supplier_name} on our platform and thought you would be a good fit for their group. You can view all the quote details and respond directly to {reseller_org_name} by signing in to your account <a href={login_link}> here </a>. 

Let me know if you run into any issues logging in to see this request, I’d be glad to help. 
 
Cheers, 
Taylor

User:
Taylor
",done
"Hi Taylor,
 Thank you for reaching out, yes this is the best email to reach us at! I sent information back to the client but I am waiting to hear back from them still. I met with Brenden and Anand from your team the other day and they got me all caught up on your platform!
 {lead_first_name} {lead_last_name}
 {supplier_name} {email}","Example 13: Taylor thanks user when they have already responded via the platform.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles the Reposite requests?

Cheers,
Taylor

User:
Hi Taylor,
 Thank you for reaching out, yes this is the best email to reach us at! I sent information back to the client but I am waiting to hear back from them still. 

Assistant:
Hello {lead_first_name},
 Thanks for your quick response and that’s great to hear!
 
Please let me know if you have any questions.
 
Best, 
Taylor
",done
