User Message,Full Convo
"Hi {agent_name}, this is {lead_first_name}. What can I help you with?","Example 1: {agent_name} clarifies the specifics of the quote request and urges prospect to respond.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got another group reservation request through Reposite from {reseller_org_name}!
 

 Have you had a chance to review?
 

 Cheers,
 {agent_name}
 

 User:
 Hi {agent_name}, this is {lead_first_name}. What are the details of this request?
 

 Assistant:
 Hi {lead_first_name},
  
 Great to connect! Happy to help provide some clarity here. One of the planners we work with, {reseller_org_name}, is using Reposite to source for suppliers for their event in {destination} for {group_size} people. Your profile is a match for their group and the planner needs more options so this request was sent directly to you. You can view it and respond directly to {reseller_org_name} by logging back into your account <a href={login_link}> here </a>. 
 

 Also, {supplier_name} is currently on our Basic Plan but with our <a href={membership_link}> membership plan </a> you gain access to all relevant RFPs sent directly to your email inbox, unlimited connections via the Discover Tool for outbound prospecting, priority response times, and more. The membership is just {price} per year with no additional fees or commissions and you can learn more <a href={membership_link}> here </a>.
 

 If you’d like to set up a time to discuss further, please book at time on the <a href={calendar_link}> calendar </a> that works best for you.
 

 {agent_name}"
"I don’t know what this means. I have not received any quote about anything.
  {lead_first_name} {lead_last_name}
  {email}","Example 2: {agent_name} clarifies when the user doesn’t know why Reposite emailed them.
 

 Assistant:
 Hey {lead_first_name} -

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 
 Have you had a chance to review?

 Cheers,
 {agent_name}
 

 User:
 I don’t know what this means. I have not received any quote about anything.
  {lead_first_name} {lead_last_name}
  {email}
 

 Assistant:
 Hey {lead_first_name},
 
 I can definitely help provide some clarity here. {supplier_name} has a profile on Reposite with {email} signed up as the active user. It's possible it has been a while since the account was created so please let me know if there needs to be another email receiving inbound lead notifications! 
 
For a little context on Reposite, we connect companies like {supplier_name} with professional planners who are regularly booking meetings, events, and conferences. One planner, {reseller_org_name}, recently posted a need in {destination} for {group_size} people and your profile was a match so the lead was sent directly to your account. You can view it and respond directly by logging in at this <a href={login_link}> link </a>. 
 
You are currently on our basic plan which provides very limited lead generation and no opportunity to grow your database of planners. If you are interested in learning more about our <a href={membership_link}> membership plan </a> to drive  group business, feel free to check out the website or book a time on my <a href={calendar_link}> calendar </a> that works for you!
 
Do you leverage any other tools or platforms to help generate consistent group leads/business?
  
 Best, 
 {agent_name}"
"Dear {agent_name},
  
 Hope this email finds you very well.
  View emails from our groups and sales team for proper follow-up to your requests.
  groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
  
 Best regards,","Example 3: When the prospect shares the correct person’s contact details, {agent_name} thanks them for their time and communicates that they will reach out to them directly.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles group reservations?
 

 Cheers,
 {agent_name}
 

 User:
 Dear {agent_name},
  
  Hope this email finds you very well.
  View emails from our groups and sales team for proper follow-up to your requests.
  groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
  
 Best regards,
 

 Assistant:
 Hello {lead_first_name},
  
 Thank you for your quick response and for providing the additional contact information. I am going to reach out to them directly.
  
 If you are interested, our <a href={membership_link}> membership plan </a> you gain access to all relevant RFPs sent directly to your email inbox, unlimited connections via the Discover Tool for outbound networking and prospecting, and it’s just {price} per year, no additional fees or commissions.
 

 If you’d like to set up a time to discuss further, you can book at time on the <a href={calendar_link}> calendar </a> that works best for you.
 

 {agent_name}"
"Hello, 
 

 Please see the attached proposal. If you are interested in booking for those dates, we will need to move forward with a deposit to confirm your reservation.
 

 Thank you,","Example 4: {agent_name} clarifies the request if the supplier misunderstands this email as a quote request.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles the Reposite account?
 

 Cheers,
 {agent_name}
 

 User:
 Hello, 
 

 Please see the attached proposal. If you are interested in booking for those dates, we will need to move forward with a deposit to confirm your reservation.
 

 Thank you,
 

 Assistant:
 Hi {lead_first_name},
 

 Thank you for getting back to me and for providing that additional detail, I want to make sure we get you in touch directly with {reseller_org_name} to discuss this booking. 
 

 In order to be considered by the planner for this request, you will need to submit your quote through your Reposite account which has {email} signed up as the active user. You can log in via this <a href={login_link}> link </a> and navigate to your quotes dashboard to find the request from {reseller_org_name}. If you have forgotten your password there is a reset password option for your convenience. 
 

 Your account with us is currently on Reposite's basic plan, which only allows for limited business development opportunities. If driving  group business is important for {supplier_name}, you can also check out our <a href={membership_link}> membership plan </a> and this short <a href={demo_link}> demo </a> of the platform to get a better idea of how we can help. 
 

 What types of groups does {supplier_name} typically look to attract? 

 {agent_name}"
"Good day,
  
 

  Thank you for contacting {supplier_name}.
  In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
  Best regards,
  {lead_first_name} {lead_last_name}
  {supplier_name}
  {email}","Example 5: {agent_name} responds to a request for more information
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles the Reposite account?
 

 Cheers,
 {agent_name}
 

 User:
 Good day,
 

 Thank you for contacting {supplier_name}.
 In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
 Best regards,
 {lead_first_name} {lead_last_name}
 {supplier_name}
 {email}
 

Assistant:
 Hey {lead_first_name},
 

 Great to meet you! I'd love to get you in touch directly with the planner to disucss the details of this request.  
 
 For a little context on Reposite, we connect companies like {supplier_name} with professional planners who are regularly booking meetings, events, and conferences. This planner, {reseller_org_name}, recently posted a need in {destination} for {group_size} people and your profile was a match so the lead was sent directly to your account. You can view it and respond directly by logging in at this <a href={login_link}> link </a>. We currently have {email} as the active user on this account. 

 Are you familiar with Reposite and our various partnership opportunities to drive group business?
  
 {agent_name}"
"Dear {agent_name},
  Thank you for contacting {supplier_name}.
  We are delighted to be of service to you.
  We would love to be of assistance to you. We would like to ask for more details of the service needed. Please note that as per policy, we cannot open any link.
  You may help us with the details sent through as an attachment.
  To help you with the actual price quote and to check service availability, may we please have the following information to start with:
  Service Type (Arrival, Departure, or Connection)
  Service airport
  Flight details (flight number, date and time; better if flight itinerary is available)
  Total number of passengers
  Total number of luggages
  Best Regards,
  {lead_first_name} {lead_last_name}
  {email}","Example 6: {agent_name} responds to a request for more information.
 

 Assistant:
 Hey {lead_first_name} -

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!

 Are you the right person at {supplier_name} that handles the Reposite account?
 
 Cheers,
 {agent_name}
 

 User:
 Dear {agent_name},
  Thank you for contacting {supplier_name}.
  We are delighted to be of service to you.
  We would love to be of assistance to you. We would like to ask for more details of the service needed. Please note that as per policy, we cannot open any link.
  You may help us with the details sent through as an attachment.
  To help you with the actual price quote and to check service availability, may we please have the following information to start with:
  Service Type (Arrival, Departure, or Connection)
  Service airport
  Flight details (flight number, date and time; better if flight itinerary is available)
  Total number of passengers
  Total number of luggages
  Best Regards,
  {lead_first_name} {lead_last_name}
  {email}
 

 Assistant:
 Hey {lead_first_name},
 
{supplier_name} already has an account with us with {email} signed up as the active user. To view this request and communicate directly with the planner on the details of this group, you can sign back into your account <a href={login_link}> here </a>. 
 
While you are currently on our basic plan, we recommend upgrading to our membership plan to receive a higher volume of group requests like this one. More importantly, the <a href={membership_link}> membership plan </a> offers unlimited access to our Discover tool which allows you to find and connect with professional planners who consistently plan meetings, events, and leisure travel itineraries in your city.
 
If you choose not to upgrade to our membership plan, you are able to maintain a free profile but you will not have access to the business development tools that the platform offers. You may receive a lead from time to time, but only when Reposite’s current network of suppliers in your area cannot fulfill the request.
 
If you are interested in connecting with one of our team members to learn more about a partnership opportunity, you can book a time on the <a href={calendar_link}> calendar </a> that works best for you. 
  
 Is there any additional information I can provide about logging into your account or the membership opportunities we offer? 
  
 {agent_name}"
"Dear {agent_name},
  Thank you for your email and we appreciate you reaching out to us.
  Please be informed that the information was forwarded to our management team. 
  Best regards,
  {lead_first_name} {lead_last_name}
  {supplier_name}
  {email}","Example 7: {agent_name} responds to a forwarded email.
 
 Assistant:
 Hey {lead_first_name} -
 
 I just saw you got a group reservation request through Reposite from {reseller_org_name}!

 Are you the right person at {supplier_name} that handles the Reposite account?

 Cheers,
 {agent_name}
 

 Dear {agent_name},
  Thank you for your email and we appreciate you reaching out to us.
  Please be informed that the information was forwarded to our management team. 
  Best regards,
  {lead_first_name} {lead_last_name}
  {supplier_name}
  {email}
 

 Assistant:
 Hey {lead_first_name},
 
Thank you for the update and please let me know if you need any assistance logging into your account to reply to this request.   
 
Additionally, you can check out our <a href={membership_link}> membership page </a> and this short <a href={demo_link}> demo </a> of the platform to get a better idea of how we drive group business to our network of suppliers.
 
If you’d like to set up a time to discuss further, you can book at time on the <a href={calendar_link}> calendar </a> that works best for you.
 
{agent_name}"
"Hi {agent_name} -
  Please direct all group reservations to myself at manager@baobrewhouse.com 
  Thank you,
  {lead_first_name} {lead_last_name}","Example 8: {agent_name} explains importance of responding via the platform for new contact.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles the Reposite account?
 

 Cheers,
 {agent_name}
 

 User:
 Hi {agent_name} -
  Please direct all group reservations to myself at manager@baobrewhouse.com 
  Thank you,
  {lead_first_name} {lead_last_name}
 

Assistant:
 

 Hi {lead_first_name},
 
Perfect, will make sure to reach out to you moving forward.
 
We currently have {email} as the active user on your Reposite account but you can add your email by going through our very abbreviated sign up flow. Please go to this <a href={signup_link}> link </a> and sign up under suppliers with a new email and password. For organization name, be sure to enter {supplier_name} exactly as it is here so that you are added to the existing account. From there you'll be able to navigate to the quotes dashboard and respond to this request. 
 
Since you are new to Reposite, feel free to check out our <a href={membership_link}> membership page </a> to learn more about the platform. Unlike many platforms in the market, Reposite connects you with a very targeted audience of professional meeting and event planners. You can also take a quick call with us by booking <a href={calendar_link}> here </a>!
 
Best,
 {agent_name}"
"{agent_name}, 
  Hey, just getting back into town. Apologies on the delayed response. Did I at some point sign up for Reposite or do you guys search for specific vendor types in a given area? 
  I popped over to the website and saw the request come through, we can totally put something together for them. We have a couple different cocktail classes we put together that are an absolute blast every time.  
  Can you help me with next steps? 
  Cheers,
  
 

  {lead_first_name} {lead_last_name}
  {supplier_name}","Example 9: {agent_name} clarifies onboarded users questions.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles the Reposite requests?
 

 Cheers,
 {agent_name}
 

 User:
 {agent_name}, 
  Hey, just getting back into town. Apologies on the delayed response. Did I at some point sign up for Reposite or do you guys search for specific vendor types in a given area? 
  I popped over to the website and saw the request come through, we can totally put something together for them. We have a couple different cocktail classes we put together that are an absolute blast every time.  
  Can you help me with next steps? 
  Cheers,
  {lead_first_name} {lead_last_name}
  {supplier_name}
 

Assistant:
 Hey {lead_first_name}, 
 
No worries at all, I hope you had a nice time away from the office!
 
 To answer your question, yes, at some point you would have signed up on the Reposite platform to respond to a past quote request. It's great to hear that you have a good option for this group, I'm sure they'll be excited to receive a proposal! You can log back into your account by navigating to this <a href={login_link}> log in </a>. If you've forgotten your password, there is an option to reset. Once you're in the platform, you'll want to navigate to the quotes dashboard. I'll look out for your reply to come through! 
 
Because you have a free profile on Reposite, you are on our Basic Plan which allows you to receive leads only when we don't have enough options for the planner from our current membership base. However, if groups like this are a home run for you, it may be worth looking into our <a href={membership_link}> membership plan </a>. Take a look and let me know your thoughts. We'd also be happy to do a quick call to help you get back into your account and run you through the membership option. 
  
 Feel free to book some time on the calendar <a href={calendar_link}> here </a> as well!
  
 {agent_name}"
"Hi {agent_name},
  Thank you for reaching out, yes this is the best email to reach us at! I sent information back to the client but I am waiting to hear back from them still. I met with Brenden and Anand from your team the other day and they got me all caught up on your platform!
  {lead_first_name} {lead_last_name}
  {supplier_name} {email}","Example 10: {agent_name} thanks user when they have already responded via the platform.
 

 Assistant:
 Hey {lead_first_name} -
 

 I just saw you got a group reservation request through Reposite from {reseller_org_name}!
 

 Are you the right person at {supplier_name} that handles the Reposite requests?
 

 Cheers,
 {agent_name}
 

 User:
 Hi {agent_name},
  Thank you for reaching out, yes this is the best email to reach us at! I sent information back to the client but I am waiting to hear back from them still. 
 

Assistant:
 

 Hello {lead_first_name},
 
Thanks for your quick response and that’s great to hear! 
 
You currently have an account on Reposite's free basic plan but if you are looking to drive more group bookings, we recommend upgrading to our membership plan. You can check out the benefits of our <a href={membership_link}> membership plan </a>, which offers unlimited access to our Discover tool to allow you to find and connect with professional planners who consistently plan meetings, events, and leisure travel itineraries in your city.
 
If you choose not to upgrade to our membership plan, you are able to maintain a free profile but you will not have access to the business development tools that the platform offers. You may receive a lead from time to time, but only when Reposite’s current network of suppliers in your area cannot fulfill the request.
 
  Best, 
 {agent_name}"
