User Message,Assistant Message
"Hi {agent_name}, this is {lead_first_name}. What can I help you with?","Example 1: {agent_name} clarifies the specifics of the quote request and encourages prospect to respond.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Hi {agent_name}, this is {lead_first_name}. What can I help you with?

Assistant:
Hi {lead_first_name},
 
Great to connect with you! Can definitely help provide some clarity here. One of the travel planners we work with {reseller_org_name} was sourcing suppliers via our Quote Request tool for their trip in {destination} for {group_size} people, and after doing some research you looked like a great fit so they reached out through Reposite. The request was originally sent to {email}, but if you're unable to find it in your inbox, you can view it and respond directly to {reseller_org_name} on this <a href={nmqrurl}> link </a> . 

There’s no cost to sign up for our basic free plan, create your profile, and respond to this lead within Reposite. (For non-members, we charge a small 15% commission on all successful bookings.) 

Have you been looking to grow your groups business?

 Best, 
{agent_name}"
"I don’t know what this means. I have not received any quote about anything.
 {lead_first_name} {lead_last_name}
 {email}","Example 2: {agent_name} clarifies the specifics of the quote request and encourages prospect to respond.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
I don’t know what this means. I have not received any quote about anything.
 {lead_first_name} {lead_last_name}
 {email}

Assistant:
Hey {lead_first_name} - Can definitely help provide some clarity here. One of the travel planners we work with {reseller_org_name} was sourcing suppliers via our Quote Request tool for their trip in {destination} for {group_size} people, and after doing some research you looked like a great fit so they reached out through Reposite. The request was originally sent to {email}, but if you're unable to find it in your inbox, you can view it and respond directly to {reseller_org_name} on this <a href={nmqrurl}> link </a> . 

There’s no cost to sign up for our basic free plan, create your profile,  and respond to this lead within Reposite. (For our basic plan, we charge a small 15% commission on all successful bookings.) 

Do you leverage any other tools or platforms to help generate consistent group leads/business?
 
Best, 
"
"Dear {agent_name},
 
Hope this email finds you very well.
 View emails from our groups and sales team for proper follow-up to your requests.
 groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
 
Best regards,","Example 3: When the prospect shares the correct person’s contact details, {agent_name} thanks them for their time and communicates that they will reach out to them directly.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Dear {agent_name},
 
 Hope this email finds you very well.
 View emails from our groups and sales team for proper follow-up to your requests.
 groupspuj@royaltonresorts.com groups2puj@royaltonresorts.com
 
Best regards,

Assistant:
Hello {lead_first_name},
 
Thank you for your quick response and for providing the additional contact information. I am going to reach out to them directly.
 
Cheers,
{agent_name}"
"Hi {agent_name},
 Yes we did receive a request! Thanks for reaching out.
 My name is {lead_first_name} and I'll be your point of contact for scheduling group reservations. Currently awaiting a response from Tim Cotter at Reposite before finalizing a quote for you. Let me know if you need anything else from our side regarding setting up future events/group reservations.
 
Thanks, {lead_first_name}","Example 4: {agent_name} clarifies team's role and encourages prospect to respond.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Hi {agent_name},
 Yes we did receive a request! Thanks for reaching out.
 My name is {lead_first_name} and I'll be your point of contact for scheduling group reservations. Currently awaiting a response from Tim Cotter at Reposite before finalizing a quote for you. Let me know if you need anything else from our side regarding setting up future events/group reservations.
 
Thanks, {lead_first_name}

Assistant:
Hi {lead_first_name},
 
Great to hear from you and thanks for providing that update! Good to hear that you’ve been working with the team that works closely with our planner partners on finalizing itineraries. If you haven’t already, you can view the full details from the planner and respond directly to {reseller_org_name} via this <a href={nmqrurl}> link </a>.

{agent_name}
"
"Good Morning {agent_name}, Can this be made within monthly payments? Can you please explain how your platform works?","Example 5: {agent_name} explains payment terms and price.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Good Morning {agent_name}, Can this be made within monthly payments? Can you please explain how your platform works?

Assistant:

While our memberships are annual, we do offer the first lead free so you are not committing to anything by signing up and submitting pricing for this request! The quickest way to sign up is by going <a href={nmqrurl}> here </a>. Once in the platform, this request will show up in your quotes dashboard under {reseller_org_name}. Once you click into the request, the easiest way to send pricing is by clicking ""Create a Quote.""

Please let me know if I can assist any further!

Cheers,
{agent_name}"
"Good morning {agent_name},
 
 In order to quote please provide the following information:
 What date would be your activity?
 Time of the activity.
 Duration of the activity.
 Do you want three courses and beverages? or cocktail/butler style service? (meaning abundant food will be passed by during the event)
 I'll be sending you a link with a video of our restaurant for your reference.
 
 Best,
 {lead_first_name}","Example 7: {agent_name} clarifies the request if the supplier misunderstands this email as a quote request.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Good morning {agent_name},
 

 In order to quote please provide the following information:
 What date would be your activity?
 Time of the activity.
 Duration of the activity.
 Do you want three courses and beverages? or cocktail/butler style service? (meaning abundant food will be passed by during the event)
 I'll be sending you a link with a video of our restaurant for your reference.
 
Best,
{lead_first_name}

Assistant:
Hey {lead_first_name} 

Happy to provide additional context - I'm reaching out from Reposite - a B2B is a marketplace connecting travel & event professionals to sought after suppliers like yourself. Planners use Reposite to discover new suppliers. In this instance one of our planners, {reseller_org_name}, is actively planning a trip, thought you looked like a great fit, and reached out to request a quote. You can view all of the quote details and respond by registering using this <a href={nmqrurl}> link </a> .
 
There’s no cost to sign up, create your profile, and respond to this lead within Reposite, (although we do charge a commission on all successful bookings for non-members).
 
Please let me know if you have any questions.

{agent_name}
"
"Hello, 

Please see the attached proposal. If you are interested in booking for those dates, we will need to move forward with a deposit to confirm your reservation.

Thank you,
","Example 8: {agent_name} clarifies the request if the supplier misunderstands this email as a quote request.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Good morning {agent_name},
 
In order to quote please provide the following information:
 What date would be your activity?
 Time of the activity.
 Duration of the activity.
 Do you want three courses and beverages? or cocktail/butler style service? (meaning abundant food will be passed by during the event)
 I'll be sending you a link with a video of our restaurant for your reference.
 
Best,
{lead_first_name}

Assistant:
Hey {lead_first_name} 

Happy to provide additional context - I'm reaching out from Reposite - a B2B is a marketplace connecting travel & event professionals to sought after suppliers like yourself. Planners use Reposite to discover new suppliers. In this instance one of our planners, {reseller_org_name}, is actively planning a trip, thought you looked like a great fit, and reached out to request a quote. You can view all of the quote details and respond by registering using this <a href={nmqrurl}> link </a> .
 
There’s no cost to sign up, create your profile, and respond to this lead within Reposite, (although we do charge a commission on all successful bookings for non-members).
 
Please let me know if you have any questions.

{agent_name}
"
"Yes give me a call, imnot sure what this is. 512-480-0200","Example 9: {agent_name} points people who want to hop on a call to sign up and respond.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Yes give me a call, imnot sure what this is. 512-480-0200

Assistant:
Hi {lead_first_name},
 
Certainly happy to coordinate a call, however, my goal would actually be to get you in touch directly with the planner to discuss this request. At Reposite, we work with {category} across all major markets to help drive private event and group bookings from our network of professional travel and event planners.

It's free to sign up, create your profile, and respond to this lead within Reposite, (although we do charge a commission on all successful bookings for non-members). You can respond directly to the request by registering via this <a href={nmqrurl}> link </a> .
 
Let me know if you have any other questions.
 
Best, 
{agent_name}"
"Dear {agent_name},
 Thank you for your email and we appreciate you reaching out to us.
 Please be informed that the information was forwarded to our management team. 
 Best regards,
 {lead_first_name} {lead_last_name}
 {supplier_name}
 {email}","Example 10: {agent_name} responds to a forwarded email.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Good day,

Thank you for contacting {supplier_name}.
In order to provide you with correct information please kindly share the number of passengers, amount of luggage and airport where service is needed.
Best regards,
{lead_first_name} {lead_last_name}
{supplier_name}
{email}

Assistant:
Hey {lead_first_name},

Great to meet you! I'm reaching out from Reposite, a platform designed to connect travel and event planners with staffing providers like {supplier_name}. One of our planners, {reseller_org_name}, recently identified you for a group reservation in {destination} . They're planning a trip for a group of {group_size} customers and thought your services might be a great fit.

To view this request, you can follow <a href={nmqrurl}> this link </a>  This particular request was sent complimentary, to give you a taste of how Reposite can help connect you with the right audience.

What other channels or resources do you use to expand your group business?

Best,
{agent_name}

User:
Dear {agent_name},
Thank you for contacting {supplier_name}.
We are delighted to be of service to you.
We would love to be of assistance to you. We would like to ask for more details of the service needed. Please note that as per policy, we cannot open any link.
You may help us with the details sent through as an attachment.
To help you with the actual price quote and to check service availability, may we please have the following information to start with:
Service Type (Arrival, Departure, or Connection)
Service airport
Flight details (flight number, date and time; better if flight itinerary is available)
Total number of passengers
Total number of luggages

Thank you for your email and we appreciate you reaching out to us.
Please be informed that the information was forwarded to our management team.

Best Regards,
{lead_first_name} {lead_last_name}
{email}


"
"Hi {agent_name} -
 Please direct all group reservations to myself at manager@baobrewhouse.com 
 Thank you,
 {lead_first_name} {lead_last_name}","Example 11: {agent_name} clarifies the specifics of the quote request and encourages prospect to respond.

Assistant:
Hey {lead_first_name} -

I just saw you got a group reservation request through Reposite from {reseller_org_name}!

Are you the right person at {supplier_name} that handles group reservations?

Cheers,
{agent_name}

User:
Hi {agent_name} -
 Please direct all group reservations to myself at manager@baobrewhouse.com 
 Thank you,
 {lead_first_name} {lead_last_name}

Assistant:
Awesome - will do, and it's great to be connected! Wanted to make sure that you saw the quote request from {reseller_org_name} -they're looking for a restaurant for a group of {group_size} in {destination}. It was originally sent to {email}, but you can view it and all the details directly in the platform by registering via this <a href={nmqrurl}> link </a> . 

Best,
{agent_name}
"
